# wvrIntakePlugLog.txt - created by NL 2016-08-29
# Keeps track of the status of the air intake plug on WVR2 ie which 
# times it is installed (IN) or removed (OUT), using the following format
# date/time start   date/time end    plug in or out
# YYYYMMDDTHH0000    YYYYMMDDTHH0000      IN

20160725T2040	     20160726T0800	  IN check time
20160726T0800	     20160730T1200	  OUT
20160730T1200	     20160801T2000	  IN
20160801T2000	     20160801T2130	  OUT
20160801T2130	     20160804T1945	  IN	     
20160804T1945	     20160804T2140	  OUT
20160804T2140	     20160806T1650	  IN
20160806T1650	     20160806T1733	  OUT
20160806T1733	     20160807Txxxx	  IN
20160807Txxxx	     20150808T1210	  OUT
20150808T1210	     20160810T1150	  IN
20160810T1150	     20160810T1815	  OUT
20160810T1815	     20160812T1900	  IN
20160812T1900	     20160812T2015	  OUT
20160812T2015	     20160815T1700	  IN
20160815T1700	     20160815T2315	  OUT
